idx,title,explanation
1,Nguyên tắc phân nhỏ,a)     Chia đối tượng thành các phần độc lập.\nb)     Làm đối tượng trở nên tháo lắp được.\nc)     Tăng mức độ phân nhỏ đối tượng.
2,Nguyên tắc “tách khỏi”,Tách phần gây “phiền phức” (tính chất “phiền phức”) hay ngược lại tách phần duy nhất “cần thiết” (tính chất “cần thiết”) ra khỏi đối tượng.
3,Nguyên tắc phẩm chất cục bộ,"a)     Chuyển đối tượng (hay môi trường bên ngoài, tác động bên ngoài) có cấu trúc đồng nhất thành không đồng nhất.\nb)     Các phần khác nhau của đối tượng phải có các chức năng khác nhau.\nc)     Mỗi phần của đối tượng phải ở trong những điều kiện thích hợp nhất đối với công việc."
4,Nguyên tắc phản đối xứng,Chuyển đối tượng có hình dạng đối xứng thành không đối xứng (nói chung giảm bậc đối xứng).
5,Nguyên tắc kết hợp,a)     Kết hợp các đối tượng đồng nhất hoặc các đối tượng dùng cho các hoạt động kế cận.\nb)     Kết hợp về mặt thời gian các hoạt động đồng nhất hoặc kế cận.
6,Nguyên tắc vạn năng,"Đối tượng thực hiện một số chức năng khác nhau, do đó không cần sự tham gia của các đối tượng khác."
7,Nguyên tắc “chứa trong”,a)     Một đối tượng được đặt bên trong đối tượng khác và bản thân nó lại chứa đối tượng thứ ba…\nb)     Một đối tượng chuyển động xuyên suốt bên trong đối tượng khác. 
8,Nguyên tắc phản trọng lượng,"a)     Bù trừ trọng lượng của đối tượng bằng cách gắn nó với các đối tượng khác, có lực nâng.\nb)     Bù trừ trọng lượng của đối tượng bằng tương tác với môi trường như sử dụng các lực thủy động, khí động…"
9,Nguyên tắc gây ứng suất sơ bộ,Gây ứng suất trước đối với đối tượng để chống lại ứng suất không cho phép hoặc không mong muốn khi đối tượng làm việc (hoặc gây ứng suất trước để khi làm việc sẽ dùng ứng suất ngược lại).
10,Nguyên tắc thực hiện sơ bộ,"a)     Thực hiện trước sự thay đổi cần có, hoàn toàn hoặc từng phần, đối với đối tượng.\nb)     Cần sắp xếp đối tượng trước, sao cho chúng có thể hoạt động từ vị trí thuận lợi nhất, không mất thời gian dịch chuyển."
11,Nguyên tắc dự phòng,"Bù đắp độ tin cậy không lớn của đối tượng bằng cách chuẩn bị trước các phương tiện báo động, ứng cứu, an toàn."
12,Nguyên tắc đẳng thế,Thay đổi điều kiện làm việc để không phải nâng lên hay hạ xuống các đối tượng.
13,Nguyên tắc đảo ngược,"a)     Thay vì hành động như yêu cầu bài toán, hành động ngược lại (ví dụ, không làm nóng mà làm lạnh đối tượng).\nb)     Làm phần chuyển động của đối tượng (hay môi trường bên ngoài) thành đứng yên và ngược lại phần đứng yên thành chuyển động."
14,Nguyên tắc cầu (tròn) hóa,"a)     Chuyển những phần thẳng của đối tượng thành cong, mặt phẳng thành mặt cầu, kết cấu hình hộp thành kết cấu hình cầu.\nb)     Sử dụng các con lăn, viên bi, vòng xoắn.\nc)     Chuyển sang chuyển động quay, sử dụng lực ly tâm. "
15,Nguyên tắc linh động,"a)     Cần thay đổi các đặc trưng của đối tượng hay môi trường bên ngoài sao cho chúng tối ưu trong từng giai đoạn làm việc.\nb)     Phân chia đối tượng thành từng phần, có khả năng dịch chuyển với nhau."
16,Nguyên tắc giải “thiếu” hoặc “thừa”,"Nếu như khó nhận được 100% hiệu quả cần thiết, nên nhận ít hơn hoặc nhiều hơn “một chút”. Lúc đó bài toán có thể trở nên đơn giản hơn và dễ giải hơn."
17,Nguyên tắc chuyển sang chiều khác,"a)     Những khó khăn do chuyển động (hay sắp xếp) đối tượng theo đường (một chiều) sẽ được khắc phục nếu cho đối tượng khả năng di chuyển trên mặt phẳng (hai chiều), tương tự, những bài toán liên quan đến chuyển động (hay sắp xếp) các đối tượng trên mặt phẳng sẽ được đơn giản hóa khi chuyển sang không gian (ba chiều).\nb)     Chuyển các đối tượng có kết cấu một tầng thành nhiều tầng.\nc)     Đặt đối tượng nằm nghiêng.\nd)     Sử dụng mặt sau của diện tích cho trước.\ne)     Sử dụng các luồng ánh sáng tới diện tích bên cạnh hoặc tới mặt sau của diện tích cho trước."
18,Nguyên tắc sử dụng các dao động cơ học,"a)     Làm đối tượng dao động.\nb)     Nếu đã có dao động, tăng tần số dao động (đến tần số siêu âm).\nc)     Sử dụng tần số cộng hưởng.\nd)     Thay vì dùng các bộ rung cơ học, dùng các bộ rung áp điện.\ne)     Sử dụng siêu âm kết hợp với trường điện từ."
19,Nguyên tắc tác động theo chu kỳ,"a)     Chuyển tác động liên tục thành tác động theo chu kỳ (xung).\nb)     Nếu đã có tác động theo chu kỳ, hãy thay đổi chu kỳ.\nc)     Sử dụng các khoảng thời gian giữa các xung để thực hiện tác động khác. "
20,Nguyên tắc liên tục tác động có ích,a)     Thực hiện công việc một cách liên tục (tất cả các phần của đối tượng cần luôn luôn làm việc ở chế độ đủ tải).\nb)     Khắc phục vận hành không tải và trung gian.\nc)     Chuyển chuyển động tịnh tiến qua lại thành chuyển động quay.
21,Nguyên tắc “vượt nhanh”,a)     Vượt qua các giai đoạn có hại hoặc nguy hiểm với vận tốc lớn.\nb)     Vượt nhanh để có được hiệu ứng cần thiết.
22,Nguyên tắc biến hại thành lợi,a)     Sử dụng những tác nhân có hại (ví dụ tác động có hại của môi trường) để thu được hiệu ứng có lợi.\nb)     Khắc phục tác nhân có hại bằng cách kết hợp nó với tác nhân có hại khác.\nc)     Tăng cường tác nhân có hại đến mức nó không còn có hại nữa.
23,Nguyên tắc quan hệ phản hồi,"a)     Thiết lập quan hệ phản hồi.\nb)     Nếu đã có quan hệ phản hồi, hãy thay đổi nó."
24,Nguyên tắc sử dụng trung gian,"Sử dụng đối tượng trung gian, chuyển tiếp."
25,Nguyên tắc tự phục vụ,"a)     Đối tượng phải tự phục vụ bằng cách thực hiện các thao tác phụ trợ, sửa chữa.\nb)     Sử dụng phế liệu, chất thải, năng lượng dư."
26,Nguyên tắc sao chép (copy),"a)     Thay vì sử dụng những cái không được phép, phức tạp, đắt tiền, không tiện lợi hoặc dễ vỡ, sử dụng bản sao.\nb)     Thay thế đối tượng hoặc hệ các đối tượng bằng bản sao quang học (ảnh, hình vẽ) với các tỷ lệ cần thiết.\nc)     Nếu không thể sử dụng bản sao quang học ở vùng biểu kiến (vùng ánh sáng nhìn thấy được bằng mắt thường), chuyển sang sử dụng các bản sao hồng ngoại hoặc tử ngoại."
27,Nguyên tắc “rẻ” thay cho “đắt”,Thay đối tượng đắt tiền bằng bộ các đối tượng rẻ có chất lượng kém hơn (ví dụ như về tuổi thọ).
28,Thay thế sơ đồ cơ học,"a)     Thay thế sơ đồ cơ học bằng điện, quang, nhiệt, âm hoặc mùi vị.\nb)     Sử dụng điện trường, từ trường và điện từ trường trong tương tác với đối tượng.\nc)     Chuyển các trường đứng yên sang chuyển động, các trường cố định sang thay đổi theo thời gian, các trường đồng nhất sang có cấu trúc nhất định.\nd)     Sử dụng các trường kết hợp với các hạt sắt từ."
29,Sử dụng các kết cấu khí và lỏng,"Thay cho các phần của đối tượng ở thể rắn, sử dụng các chất khí và lỏng; nạp khí, nạp chất lỏng, đệm không khí, thủy tĩnh, thủy phản lực."
30,Sử dụng vỏ dẻo và màng mỏng,a)     Sử dụng các vỏ dẻo và màng mỏng thay cho các kết cấu khối.\nb)     Cách ly đối tượng với môi trường bên ngoài bằng các vỏ dẻo và màng mỏng.
31,Sử dụng các vật liệu nhiều lỗ,"a)     Làm đối tượng có nhiều lỗ hoặc sử dụng thêm những chi tiết nhiều lỗ (miếng đệm, tấm phủ…)\nb)     Nếu đối tượng đã có nhiều lỗ, sơ bộ tẩm nó bằng chất nào đó."
32,Nguyên tắc thay đổi màu sắc,"a)     Thay đổi màu sắc của đối tượng hay môi trường bên ngoài.\nb)     Thay đổi độ trong suốt của đối tượng hay môi trường bên ngoài.\nc)     Để có thể quan sát được những đối tượng hoặc những quá trình, sử dụng các chất phụ gia màu, huỳnh quang.\nd)     Nếu các chất phụ gia đó đã được sử dụng, dùng các nguyên tử đánh dấu.\ne)     Sử dụng các hình vẽ, ký hiệu thích hợp. "
33,Nguyên tắc đồng nhất,"Những đối tượng, tương tác với đối tượng cho trước, phải được làm từ cùng một vật liệu (hoặc từ vật liệu gần về các tính chất) với vật liệu chế tạo đối tượng cho trước."
34,Nguyên tắc phân hủy hoặc tái sinh các phần,"a)     Phần đối tượng đã hoàn thành nhiệm vụ hoặc trở nên không cần thiết phải tự phân hủy (hòa tan, bay hơi…) hoặc phải biến dạng.\nb)     Các phần mất mát của đối tượng phải được phục hồi trực tiếp trong quá trình làm việc."
35,Thay đổi các thông số hóa lý của đối tượng,"a)     Thay đổi trạng thái đối tượng.\nb)     Thay đổi nồng độ hay độ đậm đặc.\nc)     Thay đổi độ dẻo.\nd)     Thay đổi nhiệt độ, thể tích."
36,Sử dụng chuyển pha,"Sử dụng các hiện tượng nảy sinh, trong các quá trình chuyển pha như thay đổi thể tích, tỏa hay hấp thu nhiệt lượng…"
37,Sử dụng sự nở nhiệt,"a)     Sử dụng sự nở (hay co) nhiệt của các vật liệu.\nb)     Nếu đã dùng sự nở nhiệt, sử dụng với vật liệu có các hệ số nở nhiệt khác nhau."
38,Sử dụng các chất ôxy hóa mạnh,a)     Thay không khí thường bằng không khí giàu ôxy.\nb)     Thay không khí giàu ôxy bằng chính ôxy.\nc)     Dùng các bức xạ iôn hóa tác động lên không khí hoặc ôxy.\nd)     Thay ôxy giàu ôzôn (hoặc ôxy bị iôn hóa) bằng chính ôzôn.
39,Thay đổi độ trơ,"a)     Thay môi trường thông thường bằng môi trường trung hòa.\nb)     Đưa thêm vào đối tượng các phần, các chất, phụ gia trung hòa.\nc)     Thực hiện quá trình trong chân không."
40,Sử dụng các vật liệu hợp thành (composite),"Chuyển từ các vật liệu đồng nhất sang sử dụng những vật liệu hợp thành (composite). Hay nói chung, sử dụng các loại vật liệu mới."
